等級,英文單字,中文解釋,檔案名稱,狀態
7,how,如何,0255_how.png,成功
7,where,哪裡,0256_where.png,成功
7,which,哪一個,0257_which.png,成功
7,here,這裡,0258_here.png,成功
7,there,那裡,0259_there.png,成功
7,in,在…之內,0260_in.png,成功
7,on,在…之上,0261_on.png,成功
7,at,在…地點,0262_at.png,成功
7,under,在…之下,0263_under.png,成功
7,from,從、由,0264_from.png,成功
7,out,外的,0265_out.png,成功
7,outside,在…外側,0266_outside.png,成功
7,by,根據,0267_by.png,成功
7,for,為了,0268_for.png,成功
7,to,向、往,0269_to.png,成功
7,with,與、用…,0270_with.png,成功
7,and,和、而且,0271_and.png,成功
7,but,但是,0272_but.png,成功
7,clothes,衣服,0273_clothes.png,成功
7,coat,大衣,0274_coat.png,成功
7,jacket,夾克,0275_jacket.png,成功
7,pants,褲子,0276_pants.png,成功
7,T-shirt,T恤,0277_T_shirt.png,成功
7,shorts,短褲,0278_shorts.png,成功
7,skirt,裙子,0279_skirt.png,成功
7,shirt,襯衫,0280_shirt.png,成功
7,dress,洋裝,0281_dress.png,成功
7,sock,(短)襪子,0282_sock.png,成功
7,shoe,鞋子,0283_shoe.png,成功
7,comb,梳;梳子,0284_comb.png,成功
7,bag,袋子、提袋,0285_bag.png,成功
7,hat,帽子(有邊的),0286_hat.png,成功
7,umbrella,雨傘,0287_umbrella.png,成功
7,body,身體,0288_body.png,成功
7,teeth,牙齒(複數),0289_teeth.png,成功
7,tooth,牙齒（單數),0290_tooth.png,成功
7,back,背部,0291_back.png,成功
7,neck,脖子,0292_neck.png,成功
7,lip,唇,0293_lip.png,成功
7,finger,手指頭,0294_finger.png,成功
7,foot,腳、足,0295_foot.png,成功
7,day,天、日子,0296_day.png,成功
7,Monday,星期一,0297_Monday.png,成功
7,Tuesday,星期二,0298_Tuesday.png,成功
7,Wednesday,星期三,0299_Wednesday.png,成功
7,Thursday,星期四,0300_Thursday.png,成功
7,Friday,星期五,0301_Friday.png,成功
7,Saturday,星期六,0302_Saturday.png,成功
7,Sunday,星期日,0303_Sunday.png,成功
7,week,週、一星期,0304_week.png,成功
7,weekend,週末,0305_weekend.png,成功
7,month,月,0306_month.png,成功
7,year,年,0307_year.png,成功
7,morning,早晨、上午,0308_morning.png,成功
7,afternoon,午後,0309_afternoon.png,成功
7,evening,傍晚、晚上,0310_evening.png,成功
7,night,夜、晚上,0311_night.png,成功
7,today,今天,0312_today.png,成功
7,tonight,今天晚上,0313_tonight.png,成功
7,tomorrow,明天,0314_tomorrow.png,成功
7,yesterday,昨天,0315_yesterday.png,成功
7,time,時間、期間,0316_time.png,成功
7,o'clock,…點鐘,0317_o_clock.png,成功
7,a.m.,上午,0318_a_m_.png,成功
7,p.m.,下午,0319_p_m_.png,成功
7,now,現在,0320_now.png,成功
7,last,最後地;最後的,0321_last.png,成功
7,late,晚;晚的,0322_late.png,成功
7,next,下次的、下個,0323_next.png,成功
7,classroom,教室,0324_classroom.png,成功
7,classmate,同學,0325_classmate.png,成功
7,blackboard,黑板,0326_blackboard.png,成功
7,notebook,筆記本,0327_notebook.png,成功
7,paper,紙,0328_paper.png,成功
7,picture,圖畫,0329_picture.png,成功
7,English,英文,0330_English.png,成功
