等級,英文單字,中文解釋,檔案名稱,狀態
16,castle,城堡,0932_castle.png,成功
16,king,國王,0933_king.png,成功
16,queen,王后；女王,0934_queen.png,成功
16,prince,王子,0935_prince.png,成功
16,princess,公主,0936_princess.png,成功
16,soldier,士兵,0937_soldier.png,成功
16,dragon,龍,0938_dragon.png,成功
16,quiz,小考(測驗),0939_quiz.png,成功
16,check,檢查；核對,0940_check.png,成功
16,much,很多;很多(的),0941_much.png,成功
16,habit,習慣,0942_habit.png,成功
16,word,字,0943_word.png,成功
16,sentence,句子,0944_sentence.png,成功
16,mark,做記號;記號,0945_mark.png,成功
16,dictionary,字典,0946_dictionary.png,成功
16,point,指點;要點,0947_point.png,成功
16,grade,成績；等級,0948_grade.png,成功
16,mistake,錯誤,0949_mistake.png,成功
16,elementary school,小學,0950_elementary_school.png,成功
16,bench,長板凳,0951_bench.png,成功
16,seat,座位,0952_seat.png,成功
16,office,辦公室,0953_office.png,成功
16,post office,郵局,0954_post_office.png,成功
16,side,(旁)邊,0955_side.png,成功
16,way,道路；路途,0956_way.png,成功
16,nobody,無人,0957_nobody.png,成功
16,guy,傢伙,0958_guy.png,成功
16,group,團體,0959_group.png,成功
16,country,鄉村;鄉村(的),0960_country.png,成功
16,program,節目,0961_program.png,成功
16,straw,吸管,0962_straw.png,成功
16,knife,刀子,0963_knife.png,成功
16,fork,叉子,0964_fork.png,成功
16,spoon,湯匙,0965_spoon.png,成功
16,lovely,美好的,0966_lovely.png,成功
16,clear,明朗的；清楚的,0967_clear.png,成功
16,correct,改正;正確的,0968_correct.png,成功
16,far,遠的;遠的(地),0969_far.png,成功
16,safe,安全的,0970_safe.png,成功
16,sharp,劇烈的；鋒利的,0971_sharp.png,成功
16,lazy,懶散的,0972_lazy.png,成功
16,glad,高興的,N/A,失敗: API Error: No image data in response
16,excellent,優秀的,0974_excellent.png,成功
16,over,結束;超過,0975_over.png,成功
16,pass,經過；通過,0976_pass.png,成功
16,fail,不及格；失敗,0977_fail.png,成功
16,preparation,準備,0978_preparation.png,成功
16,cheat,作弊,0979_cheat.png,成功
16,copy,抄寫；複製,0980_copy.png,成功
16,blow,吹,0981_blow.png,成功
16,knock,敲；打,0982_knock.png,成功
16,rise,上升；升起,0983_rise.png,成功
16,decide,決定,0984_decide.png,成功
16,notice,注意,0985_notice.png,成功
16,collect,收集,0986_collect.png,成功
16,leave,離開；遺忘,0987_leave.png,成功
16,treat,對待；處理;款待；請客,0988_treat.png,成功
16,along,沿著,0989_along.png,成功
16,without,沒有,0990_without.png,成功
16,inside,在…的裡面;在裡面,0991_inside.png,成功
16,repeat,重複,0992_repeat.png,成功
16,perhaps,或許,0993_perhaps.png,成功
16,if,如果；是否,0994_if.png,成功
16,although,雖然,0995_although.png,成功
16,hope,希望;希望,0996_hope.png,成功
16,rule,統治;裁決;規則,0997_rule.png,成功
16,wish,希望;希望,0998_wish.png,成功
16,dot,點,0999_dot.png,成功
16,circle,圓圈,1000_circle.png,成功
16,shape,形狀；樣子,1001_shape.png,成功
16,size,尺寸;尺寸,1002_size.png,成功
16,square,正方形；廣場;正方形(的)；廣場,1003_square.png,成功
16,let,讓,1004_let.png,成功
16,yard,碼；庭院,1005_yard.png,成功
16,inch,英吋,1006_inch.png,成功
