等級,英文單字,中文解釋,檔案名稱,狀態
14,will,將(助動詞),0782_will.png,成功
14,camera,照相機,0783_camera.png,成功
14,radio,廣播；收音機,0784_radio.png,成功
14,machine,機器,0785_machine.png,成功
14,tape,錄音帶,0786_tape.png,成功
14,myself,我自己,0787_myself.png,成功
14,yourself,你自己,0788_yourself.png,成功
14,yourselves,你們自己,0789_yourselves.png,成功
14,himself,他自己,0790_himself.png,成功
14,herself,她自己,0791_herself.png,成功
14,itself,它自己,0792_itself.png,成功
14,ourselves,我們自己,0793_ourselves.png,成功
14,themselves,他們自己,0794_themselves.png,成功
14,recorder,記錄器；錄音機,0795_recorder.png,成功
14,video,錄影帶,0796_video.png,成功
14,price,價錢,0797_price.png,成功
14,total,總計;全部的,0798_total.png,成功
14,watermelon,西瓜,0799_watermelon.png,成功
14,papaya,木瓜,0800_papaya.png,成功
14,lemon,檸檬,0801_lemon.png,成功
14,guava,芭樂,0802_guava.png,成功
14,sir,先生(尊稱),0803_sir.png,成功
14,Dr.,博士；醫生,0804_Dr_.png,成功
14,neighbor,鄰居,0805_neighbor.png,成功
14,Easter,復活節,0806_Easter.png,成功
14,basket,籃子,0807_basket.png,成功
14,church,教堂,0808_church.png,成功
14,hunt,打獵,0809_hunt.png,成功
14,roll,滾動；晃動,0810_roll.png,成功
14,hang,掛；懸吊,0811_hang.png,成功
14,snack,點心；小吃,0812_snack.png,成功
14,tool,工具,0813_tool.png,成功
14,letter,信；字母,0814_letter.png,成功
14,envelope,信封,0815_envelope.png,成功
14,ground,地面,0816_ground.png,成功
14,R.O.C.,中華民國,0817_R_O_C_.png,成功
14,world,世界,0818_world.png,成功
14,seed,種子,0819_seed.png,成功
14,other,其他;其他(的),0820_other.png,成功
14,taste,嚐;味道,0821_taste.png,成功
14,smell,聞;氣味,0822_smell.png,成功
14,sound,聽起來;聲音,0823_sound.png,成功
14,feel,感覺;感覺,0824_feel.png,成功
14,large,大的,0825_large.png,成功
14,heavy,重的,0826_heavy.png,成功
14,try,試做,0827_try.png,成功
14,comfortable,舒適的,0828_comfortable.png,成功
14,successful,成功的,0829_successful.png,成功
14,famous,有名的,0830_famous.png,成功
14,care,關心；喜歡,0831_care.png,成功
14,careful,小心的,0832_careful.png,成功
14,friendly,友善的,0833_friendly.png,成功
14,fresh,新鮮的,0834_fresh.png,成功
14,sweet,甜(美)的,0835_sweet.png,成功
14,each,每一；每個,0836_each.png,成功
14,swing,搖擺;鞦韆,0837_swing.png,成功
14,slide,滑動;滑坡,0838_slide.png,成功
14,hide,躲藏,0839_hide.png,成功
14,restaurant,餐廳,0840_restaurant.png,成功
14,drop,掉落；滴下,0841_drop.png,成功
14,move,搬；感動,0842_move.png,成功
14,paste,黏貼,0843_paste.png,成功
14,become,變成；成為,0844_become.png,成功
14,around,在…附近;在…附近,0845_around.png,成功
14,more,更;更(多的),0846_more.png,成功
14,most,最;多數的,0847_most.png,成功
14,whose,誰的,0848_whose.png,成功
14,than,比,0849_than.png,成功
14,heart,心臟,0850_heart.png,成功
14,arm,手臂,0851_arm.png,成功
14,nail,指甲,0852_nail.png,成功
14,knee,膝蓋,0853_knee.png,成功
14,shoulder,肩膀,0854_shoulder.png,成功
14,part,部分,0855_part.png,成功
14,rest,休息,0856_rest.png,成功
