等級,英文單字,中文解釋,檔案名稱,狀態
4,cook,廚師,0114_cook.png,成功
4,driver,駕駛員,0115_driver.png,成功
4,engineer,工程師,0116_engineer.png,成功
4,farmer,農夫,0117_farmer.png,成功
4,worker,工人,0118_worker.png,成功
4,name,名字,0119_name.png,成功
4,Mr.,先生,0120_Mr_.png,成功
4,Mrs.,太太,0121_Mrs_.png,成功
4,fruit,水果,0122_fruit.png,成功
4,apple,蘋果,0123_apple.png,成功
4,pear,梨子,0124_pear.png,成功
4,peach,桃子,0125_peach.png,成功
4,grape,葡萄,0126_grape.png,成功
4,banana,香蕉,0127_banana.png,成功
4,water,水,0128_water.png,成功
4,milk,牛奶,0129_milk.png,成功
4,Coke,可口可樂,0130_Coke.png,成功
4,juice,果汁,0131_juice.png,成功
4,coffee,咖啡,0132_coffee.png,成功
4,tea,茶,0133_tea.png,成功
4,egg,蛋,0134_egg.png,成功
4,cake,蛋糕,0135_cake.png,成功
4,fish,魚、魚肉,0136_fish.png,成功
4,rice,米、米飯,0137_rice.png,成功
4,breakfast,早餐,0138_breakfast.png,成功
4,lunch,午餐,0139_lunch.png,成功
4,dinner,晚餐,0140_dinner.png,成功
4,drink,喝;飲料,0141_drink.png,成功
4,eat,吃,0142_eat.png,成功
4,sleep,睡,0143_sleep.png,成功
4,read,讀、閱讀,0144_read.png,成功
4,play,玩,0145_play.png,成功
4,go,去,0146_go.png,成功
4,like,喜歡,0147_like.png,成功
4,listen,聽,0148_listen.png,成功
4,music,音樂,0149_music.png,成功
4,movie,電影,0150_movie.png,成功
4,comic book,漫畫書,0151_comic_book.png,成功
4,computer,電腦,0152_computer.png,成功
4,bus,公車,0153_bus.png,成功
