等級,英文單字,中文解釋,檔案名稱,狀態
6,cookie,餅乾,0205_cookie.png,成功
6,hamburger,漢堡,0206_hamburger.png,成功
6,swim,游泳,0207_swim.png,成功
6,dance,跳舞,0208_dance.png,成功
6,run,跑,0209_run.png,成功
6,jump,跳,0210_jump.png,成功
6,sing,唱,0211_sing.png,成功
6,fly,飛、飛行,0212_fly.png,成功
6,can,可以,0213_can.png,成功
6,have,有、吃,0214_have.png,成功
6,ride,騎,0215_ride.png,成功
6,drive,駕駛、開車,0216_drive.png,成功
6,walk,走,0217_walk.png,成功
6,take,拿、搭乘,0218_take.png,成功
6,write,寫,0219_write.png,成功
6,study,學習、讀書,0220_study.png,成功
6,do,做,0221_do.png,成功
6,make,做、製作,0222_make.png,成功
6,game,遊戲、比賽,0223_game.png,成功
6,computer game,電腦遊戲,0224_computer_game.png,成功
6,card,卡片,0225_card.png,成功
6,piano,鋼琴,0226_piano.png,成功
6,guitar,吉他,0227_guitar.png,成功
6,song,歌曲,0228_song.png,成功
6,ball,球,0229_ball.png,成功
6,baseball,棒球,0230_baseball.png,成功
6,basketball,籃球,0231_basketball.png,成功
6,soccer,足球,0232_soccer.png,成功
6,kite,風箏,0233_kite.png,成功
6,doll,娃娃,0234_doll.png,成功
6,spring,春天,0235_spring.png,成功
6,summer,夏天,0236_summer.png,成功
6,fall,秋天,0237_fall.png,成功
6,winter,冬天,0238_winter.png,成功
6,sun,太陽,0239_sun.png,成功
6,moon,月亮,0240_moon.png,成功
6,star,星星,0241_star.png,成功
6,rain,雨,0242_rain.png,成功
6,hot,熱的,0243_hot.png,成功
6,cold,冷的,0244_cold.png,成功
6,sunny,晴朗的,0245_sunny.png,成功
6,rainy,下雨的,0246_rainy.png,成功
6,cloudy,多雲的,0247_cloudy.png,成功
6,windy,有風的,0248_windy.png,成功
6,warm,暖和的,0249_warm.png,成功
6,cool,涼爽的、很酷的,0250_cool.png,成功
6,weather,天氣,0251_weather.png,成功
6,who,誰,0252_who.png,成功
6,what,什麼,0253_what.png,成功
6,when,當…的時候,0254_when.png,成功
