等級,英文單字,中文解釋,檔案名稱,狀態
8,Chinese,中文、中國人,0331_Chinese.png,成功
8,math,數學,0332_math.png,成功
8,PE,體育,0333_PE.png,成功
8,answer,回答;答案,0334_answer.png,成功
8,hi,嗨,0335_hi.png,成功
8,hello,哈囉,0336_hello.png,成功
8,good-bye,再見,0337_good_bye.png,成功
8,speak,說、演說,0338_speak.png,成功
8,say,說,0339_say.png,成功
8,ask,問,0340_ask.png,成功
8,talk,說話,0341_talk.png,成功
8,question,問題,0342_question.png,成功
8,draw,畫,0343_draw.png,成功
8,clean,打掃;乾淨的,0344_clean.png,成功
8,wear,穿,0345_wear.png,成功
8,wash,洗,0346_wash.png,成功
8,meet,遇見,0347_meet.png,成功
8,come,過來,0348_come.png,成功
8,want,想要,0349_want.png,成功
8,help,幫助,0350_help.png,成功
8,use,使用,0351_use.png,成功
8,new,新的,0352_new.png,成功
8,old,年老的,0353_old.png,成功
8,fast,快速的,0354_fast.png,成功
8,slow,慢的,0355_slow.png,成功
8,beautiful,漂亮的,0356_beautiful.png,成功
8,handsome,英俊的,0357_handsome.png,成功
8,smart,聰明的,0358_smart.png,成功
8,fine,美好的,0359_fine.png,成功
8,fun,樂趣,N/A,失敗: API Error: {"error":{"code":500,"message":"Internal error encountered.","status":"INTERNAL"}}
8,great,很棒的,0361_great.png,成功
8,boring,乏味的,0362_boring.png,成功
8,some,一些,0363_some.png,成功
8,very,非常、很,0364_very.png,成功
8,too,也、太,0365_too.png,成功
8,house,房子、房屋,0366_house.png,成功
8,living room,客廳,0367_living_room.png,成功
8,kitchen,廚房,0368_kitchen.png,成功
8,bedroom,寢室,0369_bedroom.png,成功
8,bathroom,浴室,0370_bathroom.png,成功
8,door,門,0371_door.png,成功
8,home,家,0372_home.png,成功
8,room,房間,0373_room.png,成功
8,wall,牆壁,0374_wall.png,成功
8,bed,床,0375_bed.png,成功
8,toy,玩具,0376_toy.png,成功
8,window,窗戶,0377_window.png,成功
8,TV,電視,0378_TV.png,成功
8,television,電視,0379_television.png,成功
8,telephone,電話,0380_telephone.png,成功
8,fan,風扇,0381_fan.png,成功
8,sofa,沙發,0382_sofa.png,成功
8,key,鎖匙,0383_key.png,成功
8,dish,盤子、碟子,0384_dish.png,成功
8,bowl,碗,0385_bowl.png,成功
8,chopsticks,筷子,0386_chopsticks.png,成功
8,cup,杯子,0387_cup.png,成功
8,glass,玻璃杯,0388_glass.png,成功
8,zoo,動物園,0389_zoo.png,成功
8,park,公園,0390_park.png,成功
8,farm,農場,0391_farm.png,成功
8,store,店舖,0392_store.png,成功
8,bookstore,書店,0393_bookstore.png,成功
8,hospital,醫院,0394_hospital.png,成功
8,bank,銀行,0395_bank.png,成功
8,library,圖書館,0396_library.png,成功
8,supermarket,超級市場,0397_supermarket.png,成功
8,Taiwan,台灣,0398_Taiwan.png,成功
8,America,美國,0399_America.png,成功
8,flower,花,0400_flower.png,成功
8,tree,樹,0401_tree.png,成功
8,trip,旅遊,0402_trip.png,成功
8,dream,夢想,0403_dream.png,成功
8,MRT,捷運,0404_MRT.png,成功
8,hundred,一百(的),0405_hundred.png,成功
8,dollar,元,0406_dollar.png,成功
