等級,英文單字,中文解釋,檔案名稱,狀態
3,hair,頭髮,0074_hair.png,成功
3,hand,手,N/A,失敗: API Error: No image data in response
3,leg,腿,0076_leg.png,成功
3,cat,貓,0077_cat.png,成功
3,dog,狗,0078_dog.png,成功
3,bird,鳥,0079_bird.png,成功
3,bear,熊,0080_bear.png,成功
3,duck,鴨,0081_duck.png,成功
3,chicken,雞,0082_chicken.png,成功
3,mouse,老鼠,0083_mouse.png,成功
3,pig,豬,0084_pig.png,成功
3,rabbit,兔子,0085_rabbit.png,成功
3,fox,狐狸,0086_fox.png,成功
3,lion,獅子,0087_lion.png,成功
3,tiger,老虎,0088_tiger.png,成功
3,sheep,羊,0089_sheep.png,成功
3,monkey,猴子,0090_monkey.png,成功
3,elephant,大象,0091_elephant.png,成功
3,horse,馬,0092_horse.png,成功
3,frog,青蛙,0093_frog.png,成功
3,ant,螞蟻,0094_ant.png,成功
3,bee,蜜蜂,0095_bee.png,成功
3,snake,蛇,0096_snake.png,成功
3,pet,寵物,0097_pet.png,成功
3,animal,動物,0098_animal.png,成功
3,my,我的,0099_my.png,成功
3,your,你的,0100_your.png,成功
3,his,他的,0101_his.png,成功
3,her,她的,0102_her.png,成功
3,its,牠的,0103_its.png,成功
3,our,我們的,0104_our.png,成功
3,their,他們的,0105_their.png,成功
3,yes,是,0106_yes.png,成功
3,no,不,0107_no.png,成功
3,not,不,0108_not.png,成功
3,O.K.,好,0109_O_K_.png,成功
3,doctor,醫生,0110_doctor.png,成功
3,nurse,護士,0111_nurse.png,成功
3,singer,歌手,0112_singer.png,成功
3,actor,演員,0113_actor.png,成功
